"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"De_Hoop",-34.46,20.56,17.8971753288269,7.8997064201355,564.860000000001,35,16.0471428462437,6.71857145854405,578.599599999998,39.7843999999999
"Breede_(Cape_Infanta)",-34.46,20.87,17.9337957122803,7.90075158729553,557.54,36,16.0900001525879,6.49500000476837,568.906799999999,37.0988000000001
"Breede_(Witsand)",-34.39,20.86,17.9013504844666,7.88022543792724,544.0896,35.8524,NA,NA,563.3688,37.8524
"Jongensfontein",-34.43,21.33,17.9977584579468,7.69141722755432,526.963599999999,33.3564,16.2599999564035,5.53571421759469,543.417999999999,31.2363999999999
"Still_Bay",-34.37,21.44,18.0121215438843,7.6003200149536,500.121999999997,30.5999999999994,16.3666667938232,5.07333326339722,518.901999999997,27.9267999999993
"Gouritzmound",-34.35,21.88,18.098993888855,7.32995696830749,473.066000000001,21.3160000000001,16.9664706061868,4.73058821173275,509.942000000001,18.7420000000001
"Mossel_Bay",-34.19,22.16,18.1503304031372,7.34897623405456,448.495999999999,18.6624,17.2399999300639,4.61916657288869,490.670400000004,19.0400000000003
"Klein_Brak",-34.09,22.15,18.1518314857483,7.3910846118927,439.382000000003,16.8120000000001,17.0949997901917,4.7924998998642,465.522000000001,18.4040000000001
"Groot_Brak",-34.06,22.23,18.157380027771,7.34231152534484,501.700000000019,17.300000000001,17.0859996795654,4.74999990463257,526.330000000012,25.5536000000011
"Glentana",-34.05,22.32,18.1694636116028,7.32525177383423,597.840000000006,22.3600000000003,17.1414285387312,4.71142850603376,632.756,38.1059999999997
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,671.400000000004,25.6000000000001,17.1688887278239,4.68222215440538,701.449999999991,46.4939999999985
"Touw_river",-34,22.58,18.2031690406799,7.1800356388092,745.059999999996,24.3899999999996,17.1688887278239,4.68222215440538,791.499999999992,53.1199999999988
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Swartvlei",-34.03,22.78,18.2326952362061,7.05906957626342,752.831999999994,20.5403999999995,17.33899974823,4.53550000190735,805.914399999997,46.0191999999991
"Goukamma",-34.05,22.86,18.2357468299866,7.02430736351013,791.920000000001,21.64,17.4076921022855,4.50884613623986,867.621999999996,49.7019999999994
"Brenton_on_Sea",-34.08,23.03,18.2802366333008,6.90288242645263,825.040000000002,27.7200000000003,17.525652056155,4.44543474653493,877.8736,42.9267999999995
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Plettenberg_bay",-34.07,23.38,18.351369834137,6.752835395813,896.883200000003,31.8988000000002,17.6159999529521,4.37316667238871,988.428000000003,51.6604000000004
"Tsitsikamma",-34.01,23.78,18.4567889533997,6.45496668243406,1052.44440000001,43.2532000000004,17.7165515505034,4.26310347277543,1099.44840000001,57.6052000000002
"Kromme",-34.15,24.84,18.8619072685242,5.66081945419312,675.717999999998,41.3879999999999,18.8148871687122,4.50834587642125,732.721999999998,35.7800000000001
"Jeffreys_Bay",-34.06,24.93,18.8486533943176,5.67080780715941,614.267199999995,32.5236,18.6870641795867,4.4933027608679,659.658799999995,31.0748000000002
"Gamtoos_river",-33.98,25.03,18.836889466095,5.68097448272705,543.986799999995,27.2855999999997,18.6580681584098,4.51670454577966,591.835199999996,27.0235999999998
"Schoenmakerskop",-34.05,25.6,19.1321359062195,5.64833429336548,593,24.4000000000001,19.6948091346799,4.67702289028022,640.03,22.9000000000002
"Cape_Recife",-34.03,25.71,19.1730447196961,5.67113263320923,580.6752,24,19.8467909969501,4.69111939330599,620.982800000003,22.7028
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,576.998000000001,23.9184000000001,19.7288429323307,4.66223139408206,608.686000000002,21.7600000000002
"Swartkops_River",-33.87,25.63,18.9185845848084,5.82488183517456,505.211599999999,20.6507999999999,19.3223529366886,4.57964704176959,543.557999999999,18.8763999999999
"Sundays_river",-33.73,25.85,19.0136469535828,5.74071509933472,455.392,17.078,19.5228333155314,4.56916665236155,489.244000000001,18.104
"Bushmans_river",-33.7,26.65,20.1691241264343,6.35234729766845,571.329999999999,24.9300000000001,20.9025953744204,4.66923662360388,611.36,24.2599999999998
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,590.2,24.94,20.9600708738286,4.65531914284889,631.6068,31.7527999999999
"Fish_river",-33.5,27.14,21.2066847419739,6.34568662643432,584.16,34.59,21.0358552179838,4.68447368395956,636.870000000001,42.5899999999999
"Old_womans_river",-33.48,27.15,21.2095159873963,6.36345090103149,585.936000000001,34.818,21.0485810202521,4.67567567567568,638.034000000001,42.962
