"Site","Lat","Long","SSTmean_cont","SSTrange_cont","SSSmean_cont","SSSrange_cont","SSTmean_LGM","SSTrange_LGM","SSSmean_LGM","SSSrange_LGM","SSTmean_MH","SSTrange_MH","SSSmean_MH","SSSrange_MH"
"Mossel_Bay",-34.19,22.16,18.1503304031372,7.34897623405456,35.4707907152,0.448776892799999,NA,NA,NA,NA,18.1913606269837,6.4590719615936,35.2999992370605,0.227800002992153
"Groot_Brak",-34.06,22.23,18.157380027771,7.34231152534484,35.4728931548,0.4600482708,NA,NA,NA,NA,18.1362239845276,6.63826806774128,35.2922005462646,0.226344002211092
"Touw_river",-34,22.58,18.2031690406799,7.1800356388092,35.47653072,0.474762549999999,NA,NA,NA,NA,17.8104994010926,7.17719984054551,35.2950000762939,0.230000004172325
"Swartvlei",-34.03,22.78,18.2326952362061,7.05906957626342,35.4730871,0.470087779999999,NA,NA,NA,NA,18.175599937439,6.19280005455017,35.2999992370605,0.230000004172325
"Goukamma",-34.05,22.86,18.2357468299866,7.02430736351013,35.469330508,0.455274673999999,NA,NA,NA,NA,18.1398393859863,6.0622601509094,35.2999992370605,0.230000004172325
"Brenton_on_Sea",-34.08,23.03,18.2802366333008,6.90288242645263,35.4565668444,0.410921311999996,NA,NA,NA,NA,17.8098642379761,6.06771593647003,35.2953560165405,0.230000004172325
"Gamtoos_river",-33.98,25.03,18.836889466095,5.68097448272705,35.4006138916,0.3578902528,NA,NA,NA,NA,18.5113082588196,4.73793199157712,35.2400016784668,0.297764007389545
"Sundays_river",-33.73,25.85,19.0136469535828,5.74071509933472,35.402935902,0.394876715999999,NA,NA,NA,NA,18.8822997093201,5.4715399560928,35.2400016784668,0.367400007247924
"Bushmans_river",-33.7,26.65,20.1691241264343,6.35234729766845,35.39493651,0.422171460000001,NA,NA,NA,NA,18.9976994895935,4.69300005435945,35.2700004577637,0.393299991488457
"Fish_river",-33.5,27.14,21.2066847419739,6.34568662643432,35.38156599,0.52056279,NA,NA,NA,NA,19.420899848938,5.09050001144409,35.2700004577637,0.419999986886978
"Old_womans_river",-33.48,27.15,21.2095159873963,6.36345090103149,35.38131801,0.522020082,NA,NA,NA,NA,19.4147795028687,5.098299949646,35.2700004577637,0.419999986886978
"Kidds_Beach",-33.16,27.7,21.6873382720947,6.44229209136963,35.380969144,0.527411955999999,NA,NA,NA,NA,19.952580543518,4.79927993202202,35.2637791290283,0.445219992637636
"Nahoon_river",-32.99,27.95,21.9650085830689,6.37287071228026,35.381527304,0.516356069999999,NA,NA,NA,NA,20.3702797622681,4.99404002952571,35.2599983215332,0.440999996662138
"Kei_river",-32.68,28.39,22.4296251441956,6.19534253082274,35.3652435144,0.5739142384,NA,NA,NA,NA,20.9702040382386,4.99032799549104,35.251799697876,0.418811988019943
