Site,Bioregion,Lat,Long,pi,Genus,Species,spp,Habitat,Diet
Langebaan,CoolTemperate,-33.07,18.04,0.0130,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0120,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.0130,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
Coffee_Bay,SubTropical,-31.99,29.15,0.0130,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
Blythedale_Beach,SubTropical,-29.37,31.35,0.0002,Siphonaria,nigerrima,Sni,Rocky,Grazer
Zinkwazi,SubTropical,-29.28,31.44,0.0014,Siphonaria,nigerrima,Sni,Rocky,Grazer
Cape_St_Lucia,Tropical,-28.53,32.4,0.0007,Siphonaria,nigerrima,Sni,Rocky,Grazer
Mission_Rocks,Tropical,-28.28,32.49,0.0022,Siphonaria,nigerrima,Sni,Rocky,Grazer
Jesser_Point,Tropical,-27.51,32.68,0.0022,Siphonaria,nigerrima,Sni,Rocky,Grazer
Nine_Mile_Beach,Tropical,-27.38,32.73,0.0008,Siphonaria,nigerrima,Sni,Rocky,Grazer
Mabibi,Tropical,-27.41,32.74,0.0014,Siphonaria,nigerrima,Sni,Rocky,Grazer
Ponta_de_Ouro,Tropical,-26.87,32.89,0.0013,Siphonaria,nigerrima,Sni,Rocky,Grazer
Olifants_river,CoolTemperate,-31.71,18.19,0.0026,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Berg_river,CoolTemperate,-32.77,18.14,0.0023,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Rooiels,SouthWest,-34.3,18.81,0.0020,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Palmiet,SouthWest,-34.34,19,0.0022,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.0070,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Mossel_Bay,WarmTemperate,-34.19,22.16,0.0092,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Groot_Brak,WarmTemperate,-34.06,22.23,0.0020,Palaemon,peringueyi,Ppe,Estuarine,Grazer
