id,Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
113,Mission_Rocks,Tropical,-28.28,32.49,0.93,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
114,Jesser_Point,Tropical,-27.51,32.68,0.89,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
115,Nine_Mile_Beach,Tropical,-27.38,32.73,0.88,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
116,Mabibi,Tropical,-27.41,32.74,0.98,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
117,Ponta_de_Ouro,Tropical,-26.87,32.89,0.97,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
118,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.9,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
119,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92641,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
120,Wooleys_Pool,SouthWest,-34.13,18.45,0.93333,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
121,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
122,Elands_Bay,CoolTemperate,-32.32,18.33,0.65,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
123,Elands_Bay,CoolTemperate,-32.32,18.33,0.63,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
124,Elands_Bay,CoolTemperate,-32.32,18.33,0.52,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
125,Haga_Haga,SubTropical,-32.77,28.23,0.89855,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
126,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.98693,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
127,Port_Alfred,WarmTemperate,-33.63,26.87,0.90043,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
131,Berg_river,CoolTemperate,-32.77,18.14,0.65,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
132,Mouille_Point,CoolTemperate,-33.9,18.4,0.91,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
171,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.97,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
175,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.46,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
177,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.73626,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
181,Langebaan,CoolTemperate,-33.07,18.04,0.154,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
182,Langebaan,CoolTemperate,-33.07,18.04,0.99,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
183,Langebaan,CoolTemperate,-33.07,18.04,0.356,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
191,Yzerfontein,CoolTemperate,-33.37,18.16,0.7,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
192,Yzerfontein,CoolTemperate,-33.37,18.16,0.26,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
211,Port_Nolloth,CoolTemperate,-29.25,16.87,0.61,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
212,Port_Nolloth,CoolTemperate,-29.25,16.87,0.94,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
214,Port_Nolloth,CoolTemperate,-29.25,16.87,0.34,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
216,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.89,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
217,Port_Nolloth,CoolTemperate,-29.25,16.87,0.3,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
218,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92641,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
219,Port_Nolloth,CoolTemperate,-29.25,16.87,0.19474,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
220,Gansbaai,SouthWest,-34.58,19.34,0.95425,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
221,Cape_Town,CoolTemperate,-33.91,18.43,0.643,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
225,Haga_Haga,SubTropical,-32.77,28.23,0.89855,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
226,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.93074,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
234,Mouille_Point,CoolTemperate,-33.9,18.4,0.61,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
236,Mouille_Point,CoolTemperate,-33.9,18.4,0.9667,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
251,Kommetjie,CoolTemperate,-34.14,18.32,0.95,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
255,Kommetjie,CoolTemperate,-34.14,18.32,0.08,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
271,False_Bay,SouthWest,-34.24,18.66,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
