id,Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
90,Coffee_Bay,SubTropical,-31.99,29.15,0.007,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
92,Port_St._Johns,SubTropical,-31.63,29.55,0.00088,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
94,Herolds_Bay,WarmTemperate,-34.06,22.4,0.00561,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
95,Port_Edward,SubTropical,-31.06,30.23,0.00052,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
96,Ramsgate,SubTropical,-30.87,30.37,0.00036,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
97,Port_Shepstone,SubTropical,-30.74,30.46,0.012,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
98,Umzumbe,SubTropical,-30.63,30.54,0.0047,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
102,Durban,SubTropical,-29.87,31.05,0.0019,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
103,Mhlanga,SubTropical,-29.74,31.08,0.00028,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
104,Shakas_Rock,SubTropical,-29.52,31.23,0.0024,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
105,Salt_Rock,SubTropical,-29.5,31.24,0.0033,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
106,Sheffield_Beach,SubTropical,-29.49,31.26,0.00079,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
107,Blythedale_Beach,SubTropical,-29.37,31.35,0.0072,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
108,Nonoti,SubTropical,-29.33,31.39,0.00099,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
109,Zinkwazi,SubTropical,-29.28,31.44,0.00071,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
110,Lone_Rock,SubTropical,-28.91,31.94,0.00132,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
111,Richards_Bay,SubTropical,-28.81,32.09,0.011,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
112,Cape_St_Lucia,Tropical,-28.53,32.4,0.0081,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
113,Mission_Rocks,Tropical,-28.28,32.49,0.0078,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
114,Jesser_Point,Tropical,-27.51,32.68,0.0068,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
115,Nine_Mile_Beach,Tropical,-27.38,32.73,0.0058,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
116,Mabibi,Tropical,-27.41,32.74,0.007,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
117,Ponta_de_Ouro,Tropical,-26.87,32.89,0.011,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
118,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0046,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
119,Wooleys_Pool,SouthWest,-34.13,18.45,0.00528,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
120,Haga_Haga,SubTropical,-32.77,28.23,0.00559,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
121,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0061,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
122,Elands_Bay,CoolTemperate,-32.32,18.33,0.01,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
123,Elands_Bay,CoolTemperate,-32.32,18.33,0.03,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
124,Elands_Bay,CoolTemperate,-32.32,18.33,0.02,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
125,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.00586,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
126,Port_Alfred,WarmTemperate,-33.63,26.87,0.00675,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
131,Berg_river,CoolTemperate,-32.77,18.14,0.0024,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
132,Mouille_Point,CoolTemperate,-33.9,18.4,0.0052,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
171,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0114,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
177,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.01042,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
181,Langebaan,CoolTemperate,-33.07,18.04,2.00E-04,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
182,Langebaan,CoolTemperate,-33.07,18.04,0.013,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
183,Langebaan,CoolTemperate,-33.07,18.04,6.00E-04,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
191,Yzerfontein,CoolTemperate,-33.37,18.16,0.04,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
192,Yzerfontein,CoolTemperate,-33.37,18.16,0.01,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
211,Port_Nolloth,CoolTemperate,-29.25,16.87,0.0016,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
